repo	days	branch	dirty	branches	todos	bigfiles	env	secrets	baseline	wf	chrysa_ci	unpinned	sonar	release	pyreq	fastapi	react	locks
agent-config	0	main	5	19	12	4	1	1	1	18	6	4	1	1	-	-	-	0
ai-aggregator	1	main	26	26	6	7	2	0	1	20	10	9	1	1	3.14	0.115	-	1
audit-platform	1	feat/deploy-caller	18	23	0	2	1	0	1	19	5	6	0	0	3.14	0.115.0	-	1
automations	9	main	7	11	24	3	0	0	1	20	5	4	1	1	-	-	-	1
catalog	1	feat/sport-hub-deploy	98	18	1	0	0	0	1	12	2	2	0	0	-	-	-	0
cdn-explorer	1	feat/deploy-caller	9	23	7	4	2	0	1	20	9	8	1	1	3.14	0.115	-	1
chrysa-lib	0	chore/auth-remove-noqa-suppressions	6	22	11	2	0	0	1	22	4	4	1	1	-	-	-	0
chrysa-portfolio-viz	1	main	15	15	0	9	1	0	1	17	5	5	0	1	3.14	-	-	0
chrysa-skills	1	chore/remove-reliquats	294	13	8	5	0	0	1	18	3	2	1	1	-	-	-	0
claude-config	6	main	1	25	8	3	0	0	1	16	4	3	1	0	-	-	-	0
coach	6	main	10	11	6	3	0	0	1	17	7	5	1	1	3.14	-	-	0
container-webview	1	chore/remove-reliquats	6	28	7	5	1	0	1	20	8	8	1	1	-	-	-	0
D-D	1	chore/adopt-lean-ci	15	15	7	2	0	0	0	18	6	5	1	1	-	-	-	0
dev-nexus	1	chore/remove-playwright-reliquat	64	77	3	9	3	0	0	21	4	3	1	1	-	-	-	0
devtool	0	main	8	26	1	3	2	0	1	16	5	6	1	0	-	-	-	0
discord-bot-back	1	chore/adopt-lean-ci	29	16	6	3	1	0	1	18	4	4	0	1	3.14	-	-	1
discordium	1	chore/remove-reliquats	25	47	131	2	1	0	1	17	7	7	0	1	-	-	-	0
diy-stream-deck	1	chore/remove-reliquats	11	14	6	3	0	0	0	19	4	4	1	1	3.14	-	-	1
django-app-forge	1	ci/use-reusable-workflow	7	11	125	0	0	0	0	17	6	4	1	1	3.14	-	-	0
django-autoload	1	ci/use-reusable-workflow	10	10	0	0	0	0	0	14	4	3	1	0	3.14	-	-	0
django-pytest	1	ci/use-reusable-workflow	1	11	0	5	0	0	0	17	6	5	1	1	3.14	-	-	0
django-query-optimizer	9	main	3	20	1	2	0	0	0	17	6	3	1	1	3.14	-	-	1
django-query-optimizer-vscode	6	main	0	14	1	4	0	0	1	17	4	3	1	1	-	-	-	1
django-traceid	1	ci/use-reusable-workflow	7	11	1	4	0	0	0	17	6	5	1	1	3.12	-	-	0
doc-gen	1	fix/publish-api-image	15	46	7	4	2	0	1	23	11	11	1	1	3.14	0.136.3	-	0
epub-sorter	NO_GIT
feedback-gateway	1	docs/add-claude-md	9	9	1	0	1	0	0	13	3	3	0	0	3.12	0.115	-	0
floating-agent	1	chore/remove-reliquats	23	20	6	5	0	0	0	21	10	10	1	1	3.14	0.115	-	1
game-solver-platform	6	main	6	5	2	2	0	0	1	14	2	2	0	0	-	-	-	0
gaming-os	1	chore/adopt-lean-ci	24	30	7	3	1	0	1	17	6	6	0	1	-	-	-	0
genealogy-validator	1	feat/deploy	18	26	6	1	1	0	1	19	5	4	1	1	3.14	0.111	-	1
gestureOS	1	chore/adopt-lean-ci	8	6	1	0	0	0	0	15	4	3	1	1	3.14	-	-	0
github-actions	1	feat/frontend-target	18	26	1	3	0	0	0	26	6	4	1	1	-	-	-	0
guideline-checker	1	main	2	4	24	2	1	0	1	20	10	10	0	1	3.14	0.115	-	1
